S.No,Name,Ticker,CMP Rs.,Vol 1d,ROCE %
1.,Oswal Pumps,OSWALPUMPS,758.35,2251644,77.89
2.,Hindustan Zinc,HINDZINC,444.10,2071239,60.81
3.,Hindustan Motors,HINDMOTORS,24.99,4215454,56.72
4.,Castrol India,CASTROLIND,221.50,1214293,55.16
5.,Indian Energy Ex,IEX,192.00,10160326,53.61
6.,Coal India,COALINDIA,392.85,5213011,48.04
7.,Crizac,CRIZAC,330.95,6058234,47.87
8.,Marico,MARICO,710.85,1743159,45.16
9.,Natl. Aluminium,NATIONALUM,197.50,9804272,43.96
10.,Motherson Wiring,MSUMI,42.89,4853985,42.54
11.,Blue Jet Health,BLUEJET,815.55,2301147,40.59
12.,Bharat Electron,BEL,403.50,13085407,38.99
13.,CG Power & Ind,CGPOWER,677.00,4365131,37.48
14.,Avantel,AVANTEL,150.00,1273552,37.03
15.,ITC,ITC,416.10,10162446,36.79
16.,Jai Balaji Inds.,JAIBALAJI,125.00,1634025,36.08
17.,Mamata Machinery,MAMATA,515.00,1480145,34.87
18.,Anthem Bioscienc,ANTHEM,733.10,15296313,34.22
19.,Reliance Infra.,RELINFRA,371.25,1237216,34.01
20.,NBCC,NBCC,114.00,8343658,33.48
21.,BLS Internat.,BLS,387.25,1014282,32.90
22.,Rajoo Engineers,RAJOOENG,132.25,1099212,32.83
23.,Suzlon Energy,SUZLON,66.78,38818581,32.41
24.,Enviro Infra,EIEL,286.00,4274837,31.70
25.,Arkade,ARKADE,207.80,1387109,30.60
26.,Transrail Light,TRANSRAILL,760.00,3764853,30.58
27.,Garuda Cons,GARUDA,175.20,10519744,30.09
28.,Prostarm Info,PROSTARM,224.00,2806144,29.75
29.,NMDC,NMDC,72.13,26483048,29.59
30.,Indus Towers,INDUSTOWER,390.00,4963126,29.22
31.,KNR Construct.,KNRCON,226.95,1709698,29.18
32.,Tilaknagar Inds.,TI,471.00,24297640,28.43
33.,Quality Power El,QPOWER,865.00,1744073,27.99
34.,Gabriel India,GABRIEL,999.00,1192478,26.44
35.,Radhika Jeweltec,RADHIKAJWE,96.15,1074010,25.78
36.,Hind.Construct.,HCC,27.60,3059695,25.58
37.,Petronet LNG,PETRONET,303.35,1584227,25.57
38.,Engineers India,ENGINERSIN,242.25,3764493,25.42
39.,Vedanta,VEDL,456.00,3011612,25.26
40.,Denta Water,DENTA,362.45,2119786,25.04
41.,Guj Pipavav Port,GPPL,161.60,1872107,24.88
42.,Varun Beverages,VBL,477.00,4505643,24.85
43.,Nila Spaces,NILASPACES,13.90,1082232,24.16
44.,Hindustan Copper,HINDCOPPER,280.00,5903512,23.99
45.,Man Infra,MANINFRA,183.90,1131073,23.52
46.,Sky Gold & Diam.,SKYGOLD,342.50,1989891,23.40
47.,Globe Civil,GLOBECIVIL,89.99,3424905,23.06
48.,Magellanic Cloud,MCLOUD,86.50,9309559,22.90
49.,Adani Power,ADANIPOWER,595.00,2300105,22.54
50.,Aeroflex,AEROFLEX,208.00,12294238,22.34
51.,Spunweb Nonwoven,SPUNWEB,160.45,1888800,22.25
52.,NCC,NCC,228.30,1865792,22.12
53.,Himadri Special,HSCL,510.00,1158778,22.01
54.,Choice Intl.,CHOICEIN,765.55,1815309,21.57
55.,Indraprastha Gas,IGL,219.00,4118872,21.43
56.,Zensar Tech.,ZENSARTECH,835.00,1029966,21.28
57.,Birlasoft Ltd,BSOFT,402.00,1528174,20.95
58.,Easy Trip Plann.,EASEMYTRIP,10.03,7906875,20.89
59.,AWL Agri Busine.,AWL,280.00,2974246,20.89
60.,VST Industries,VSTIND,289.00,1552283,20.85
61.,Arihant Capital,ARIHANTCAP,101.37,9185579,20.82
62.,Dabur India,DABUR,515.25,1520571,20.24
63.,AGI Greenpac,AGI,998.85,9499498,20.13
64.,Marksans Pharma,MARKSANS,247.90,1174631,20.03
65.,Tata Motors,TATAMOTORS,679.00,8138472,19.97
66.,Stallion India,STALLION,115.02,2308770,19.96
67.,Afcons Infrastr.,AFCONS,430.10,7785401,19.59
68.,Wipro,WIPRO,258.80,7052543,19.51
69.,PG Electroplast,PGEL,792.00,1083011,19.36
70.,Bajaj Consumer,BAJAJCON,233.40,1205860,19.27
71.,20 Microns,20MICRONS,275.00,1119068,19.16
72.,MOIL,MOIL,406.00,1640233,19.12
73.,Crompton Gr. Con,CROMPTON,333.10,3720867,19.01
74.,Redington,REDINGTON,314.90,1661946,18.90
75.,Thomas Cook (I),THOMASCOOK,188.00,7778891,18.62
76.,Som Distilleries,SDBL,161.35,1004069,18.02
77.,Sona BLW Precis.,SONACOMS,472.00,2560491,17.82
78.,SBC Exports,SBC,17.26,8131794,17.72
79.,Time Technoplast,TIMETECHNO,466.00,1472799,17.38
80.,Kellton Tech,KELLTONTEC,145.00,1068797,17.38
81.,Indian Hotels Co,INDHOTEL,755.00,2726079,17.21
82.,Cupid,CUPID,147.00,8691667,16.88
83.,Mangalam Global,MGEL,17.19,2031280,16.75
84.,B P C L,BPCL,340.30,4747363,16.25
85.,Pennar Industrie,PENIND,256.00,1695693,16.00
86.,Sterling & Wils.,SWSOLAR,305.00,2483737,15.99
87.,Sigachi Indust.,SIGACHI,40.00,6466730,15.80
88.,Sudarshan Pharma,543828,27.55,1460000,15.51
89.,Vintage Coffee,VINCOFE,152.00,13205419,15.48
90.,Sinclairs Hotels,SINCLAIR,108.00,2117444,15.33
91.,Patel Engineerin,PATELENG,39.87,1964692,15.28
92.,Latent View,LATENTVIEW,426.60,5180054,15.22
93.,Hindalco Inds.,HINDALCO,690.50,3880243,15.21
94.,Morepen Labs.,MOREPENLAB,61.60,1647741,15.08
95.,Aptus Value Hou.,APTUS,354.00,1231771,15.04
96.,Rail Vikas,RVNL,373.00,2629193,14.71
97.,United Polyfab,UNITEDPOLY,21.76,1392772,14.69
98.,Motisons Jewel,MOTISONS,21.80,2156568,14.52
99.,Apollo Micro Sys,APOLLO,184.75,3148962,14.46
100.,Welspun Living,WELSPUNLIV,139.90,2316508,14.44
101.,Kalyan Jewellers,KALYANKJIL,596.00,2723139,14.31
102.,Belrise Industri,BELRISE,125.60,14262844,14.31
103.,Swan Energy,SWANENERGY,503.00,3586898,14.29
104.,Ashok Leyland,ASHOKLEY,125.00,9385131,14.26
